trace_id,ticker,quarter,guidance_availability,actual,baseline_prediction,online_anchor_prediction,pre_ram_prediction,final_came_prediction,compressed_base_delta_log,compressed_base_support,intrinsic_delta_log,intrinsic_support,temporal_delta_log,temporal_support,guidance_delta_log,guidance_support,guidance_active,base_weight,intrinsic_weight,temporal_weight,guidance_weight,blend_support_sum,ram_active,ram_reason,ram_history_n,ram_prior_signed_log_error,normalized_card_ids_json,normalized_card_count,public_release_status,derived_artifact_status,source_material_access_status,source_material_redistribution_status,verbatim_text_status
AAPL:FY2021_Q3,AAPL,FY2021_Q3,none,81434000000.0,89584000000.0,59685000000.0,61899123176.37241,81586391796.18408,0.0221594915556127,0.1582820825400912,0.0,0.0,0.0452692303788135,0.4595723508768178,0.0,0.0,0,0.3826935720417985,0.0,0.6173064279582016,0.0,0.5583600745867365,1,prior_signed_error_strength_active,49,0.1218179120040395,"[""24981ef832cc9631d419"",""601284c8b3e4eb5e3f01""]",2,included_in_public_release,author_created_derived_forecast_trace,not_required_for_public_post_extraction_replay,not_redistributed_no_rights_grant,absent
AAPL:FY2021_Q4,AAPL,FY2021_Q4,none,83360000000.0,81434000000.0,89886407773.15353,92613655354.81668,92613655354.81668,0.0260102283262415,0.1857873451874394,0.0,0.0,0.0363986754000462,0.1993320287901135,0.0,0.0,0,0.6265436836819983,0.0,0.3734563163180017,0.0,0.4003119375956284,0,prior_signed_error_strength_active,53,0.1235701827835939,"[""5e8494fc15eaea3f464d"",""25b94321929f9865c67f""]",2,included_in_public_release,author_created_derived_forecast_trace,not_required_for_public_post_extraction_replay,not_redistributed_no_rights_grant,absent
AAPL:FY2022_Q1,AAPL,FY2022_Q1,qualitative_only,123945000000.0,83360000000.0,121609453907.6756,123046675982.9032,123046675982.9032,0.0157764871944462,0.2280685448116242,0.0193779519310883,0.0,0.0346498011197994,0.2171924198651435,0.0,0.0,0,0.5981005218058457,0.0,0.4018994781941543,0.0,0.4346350690383188,0,not_no_guidance_current_kept,0,,"[""bc8ae21f2094341cb44d"",""5dca6bf74f5ae0dba216"",""ddf4fd58403d2a391ca7""]",3,included_in_public_release,author_created_derived_forecast_trace,not_required_for_public_post_extraction_replay,not_redistributed_no_rights_grant,absent
AAPL:FY2022_Q2,AAPL,FY2022_Q2,qualitative_only,97278000000.0,123945000000.0,92646511144.67863,93460270636.43285,93460270636.43285,0.0140973461988539,0.1290599032213424,0.0224487938313581,0.1845950611752289,0.0159433229865177,0.1756689368718544,0.0,0.0,0,0.3595445503649463,0.3281618855790873,0.3122935640559663,0.0,0.422686872603601,0,not_no_guidance_current_kept,0,,"[""16edbddb9aa70b430f03"",""096123a43299f4f4175a""]",2,included_in_public_release,author_created_derived_forecast_trace,not_required_for_public_post_extraction_replay,not_redistributed_no_rights_grant,absent
AAPL:FY2022_Q3,AAPL,FY2022_Q3,none,82959000000.0,97278000000.0,87489947410.54858,86021482552.25694,87585876283.06288,-0.0316660396195334,0.2891127236559714,0.0,0.0,0.0242779744593523,0.186151154534698,0.0,0.0,0,0.7365365711794617,0.0,0.2634634288205383,0.0,0.5299155428365849,1,prior_signed_error_strength_active,65,0.1014683459800075,"[""cb9c93a337a7c9388ee7"",""c8cd9d4cbad31a9f9763"",""53ead25dd78a034de17c"",""9d71f3800ff238decc40"",""68a464d100b10d5fbb17"",""4fbf397952d889192555"",""900136bfdd6f79315db0"",""0d0e0207bd77d4ace70e""]",8,included_in_public_release,author_created_derived_forecast_trace,not_required_for_public_post_extraction_replay,not_redistributed_no_rights_grant,absent
AAPL:FY2022_Q4,AAPL,FY2022_Q4,none,90146000000.0,82959000000.0,88203197701.5225,89776537609.80551,90086324525.78207,0.0295723015673666,0.2112307254811906,-0.0002099091096151,0.3432832516163143,0.0014203033922676,0.1629920754188453,0.0,0.0,0,0.5935434399705263,0.2756004926900365,0.1308560673394371,0.0,0.6227914331096635,1,prior_signed_error_strength_active,68,0.0989495402264964,"[""79e6f05a7aa0f3a0aabb"",""4cbb913b08514c3b9aca"",""26164ea29988e2704386""]",3,included_in_public_release,author_created_derived_forecast_trace,not_required_for_public_post_extraction_replay,not_redistributed_no_rights_grant,absent
AAPL:FY2023_Q1,AAPL,FY2023_Q1,none,117154000000.0,90146000000.0,130008345016.23276,130630437991.90971,131161318798.92397,0.017532090900091,0.1515844752491139,-0.0158777099488292,0.3794557134356748,0.0082463231353393,0.3073408367963418,0.0,0.0,0,0.4358229407006512,0.3117083341029508,0.252468725196398,0.0,0.6086711068019576,1,prior_signed_error_strength_active,70,0.0974929777525249,"[""165b7d34f4c689fa6bdc"",""3aadb8ae5e6658095e4d"",""8381872da81366eeeac0"",""8cbb8f0a5f0864d9330b"",""f85ebda1664ceaae98df""]",5,included_in_public_release,author_created_derived_forecast_trace,not_required_for_public_post_extraction_replay,not_redistributed_no_rights_grant,absent
AAPL:FY2023_Q2,AAPL,FY2023_Q2,derived_weak_numeric,94836000000.0,91948096429.86807,93000640895.40604,93000640895.40604,93000640895.40604,-0.0169951526020235,0.2141080448254961,-0.0939046868789795,0.6341210204194526,-0.0231881789546676,0.4773628518665573,0.0,0.0,0,0.1829217872043937,0.4661574342008328,0.3509207785947735,0.0,1.2427477399854785,0,not_no_guidance_current_kept,0,,"[""c10be41f47011790767d"",""d5e9a6847809015daf4d"",""c20a5c27056a79aa28a5"",""7d57d65ec69a1ca0df75""]",4,included_in_public_release,author_created_derived_forecast_trace,not_required_for_public_post_extraction_replay,not_redistributed_no_rights_grant,absent
AAPL:FY2023_Q3,AAPL,FY2023_Q3,derived_weak_numeric,81797000000.0,94836000000.0,82701702424.2,82701702424.2,82701702424.2,-0.0005523664648229,0.1464572241921137,0.0045749502044097,0.0,0.0076862011020008,0.3276171491583122,0.0,0.0,0,0.3934613083078641,0.0,0.6065386916921358,0.0,0.4276167516266351,0,not_no_guidance_current_kept,0,,"[""f680507fa5127e257915"",""4cd03b31578f0f94ba7f""]",2,included_in_public_release,author_created_derived_forecast_trace,not_required_for_public_post_extraction_replay,not_redistributed_no_rights_grant,absent
AAPL:FY2023_Q4,AAPL,FY2023_Q4,derived_weak_numeric,89498000000.0,88883332272.56837,87416839576.28404,87416839576.28404,87416839576.28404,-0.0119376400699184,0.183032009103347,-0.0705250791741958,0.6047734402752908,-0.0117299871797383,0.345129051496782,0.0,0.0,0,0.1756673218934542,0.5248270364464546,0.2995056416600913,0.0,1.0852482071911829,0,not_no_guidance_current_kept,0,,"[""b1129dc466729362a60d"",""2b7d0b6cd7d6f25a151b"",""fa3791e505b97c12c3fd"",""670d0994048aa8b128af"",""98a6f775cf8d01f88baf""]",5,included_in_public_release,author_created_derived_forecast_trace,not_required_for_public_post_extraction_replay,not_redistributed_no_rights_grant,absent
